card,store,quantity,value
young pyromancer,Epic Game,3,2.90
young pyromancer,Epic Game,2,24.90
young pyromancer,Epic Game,2,24.90
young pyromancer,Epic Game,2,2.49
young pyromancer,Epic Game,1,2.90
young pyromancer,Epic Game,1,2.90
young pyromancer,Epic Game,1,2.90
young pyromancer,Magic Club,8,4.75
young pyromancer,Magic Club,8,4.50
young pyromancer,Magic Club,3,4.75
young pyromancer,Magic Club,2,4.50
young pyromancer,Magic Club,1,24.50
young pyromancer,Power9,3,23.95
young pyromancer,Power9,4,3.95
young pyromancer,Power9,1,3.95
young pyromancer,Load or Cast,1,22.05
young pyromancer,Load or Cast,6,3.70
young pyromancer,Load or Cast,3,3.40
young pyromancer,DeckMasterGames,1,23.90
young pyromancer,DeckMasterGames,1,3.70
young pyromancer,Miragem Hobby,1,6.75
young pyromancer,Miragem Hobby,1,8.95
young pyromancer,Panteão Games,1,12.00
young pyromancer,Cards Outlet,6,6.69
young pyromancer,Cards Outlet,4,6.47
young pyromancer,Cards Outlet,4,6.18
young pyromancer,Cards Outlet,3,5.91
young pyromancer,Cards Outlet,4,6.69
young pyromancer,Magicbembarato,4,6.39
young pyromancer,Magicbembarato,4,6.68
young pyromancer,Magicbembarato,4,6.11
young pyromancer,Magic Store Brasil,1,11.88
young pyromancer,Inside Games,26,6.00
young pyromancer,Inside Games,13,6.00
young pyromancer,Mulligan Geek Store,16,5.50
young pyromancer,Mulligan Geek Store,12,5.50
young pyromancer,Mulligan Geek Store,4,5.50
young pyromancer,Mulligan Geek Store,3,5.75
young pyromancer,Mulligan Geek Store,1,5.50
young pyromancer,Skull Games,1,5.50
young pyromancer,Skull Games,1,4.50
young pyromancer,Loja Grimorium,2,4.99
young pyromancer,Loja Grimorium,1,4.99
young pyromancer,Loja Grimorium,1,4.99
young pyromancer,Loja Grimorium,1,4.99
young pyromancer,ManaFix.net,2,2.48
young pyromancer,ManaFix.net,1,4.95
young pyromancer,ManaFix.net,1,2.89
young pyromancer,Medieval Cards,1,5.70
young pyromancer,Porto Livre Games,6,4.89
young pyromancer,Lets Collect,1,4.95
young pyromancer,Card Tutor,8,2.50
young pyromancer,Card Tutor,5,2.95
young pyromancer,Card Tutor,3,2.95
young pyromancer,Card Tutor,1,4.95
young pyromancer,Meruru,3,4.98
young pyromancer,Meruru,2,4.75
young pyromancer,Meruru,1,3.89
young pyromancer,Konklave FunStore,1,4.68
young pyromancer,Konklave FunStore,2,4.68
young pyromancer,Konklave FunStore,4,4.68
young pyromancer,Hobby Center,3,4.00
young pyromancer,Hobby Center,1,3.50
young pyromancer,Flow Games,1,3.25
young pyromancer,Flow Games,4,3.98
young pyromancer,MTG Cards Games,11,3.95
young pyromancer,MTG Cards Games,5,3.95
young pyromancer,MTG Cards Games,3,3.95
young pyromancer,Elder Dragon Brasil,8,3.83
young pyromancer,Nerdz Cards,3,3.50
young pyromancer,Nerdz Cards,2,3.50
young pyromancer,Nerdz Cards,1,3.50
young pyromancer,Nerdz Cards,1,3.50
young pyromancer,Card Castle,2,3.49
young pyromancer,Prime MTG,8,3.09
young pyromancer,PRCShop,4,3.00
young pyromancer,Taverneiros,2,2.70
young pyromancer,Cabala MtG,4,2.64
young pyromancer,Livraria do Infinito - MagicJebb,1,2.85
young pyromancer,RED Jogos,1,2.70
young pyromancer,Armada Nerd Hobby Store,2,3.00
young pyromancer,under3,1,2.61
young pyromancer,Legion Board & Card Games,1,2.50
young pyromancer,Mineral Games,2,2.50
young pyromancer,Mineral Games,2,2.50
young pyromancer,Loja Blood Moon,1,2.82
young pyromancer,Goblin Hero Store,3,2.49
young pyromancer,Goblin Hero Store,1,2.49
young pyromancer,Segura Card & Games,2,3.00
"talrand, sky summoner",Tutubahia,4,3.75
"talrand, sky summoner",Tutubahia,4,3.75
"talrand, sky summoner",Tutubahia,3,3.75
"talrand, sky summoner",Tutubahia,2,5.00
"talrand, sky summoner",Tutubahia,1,3.75
"talrand, sky summoner",Tutubahia,1,10.00
young pyromancer,Basics Cards,1,2.49
young pyromancer,Valhala Store,3,2.50
"talrand, sky summoner",Card Tutor,6,1.95
"talrand, sky summoner",Card Tutor,1,9.95
"talrand, sky summoner",Legends Game Store,1,9.99
"talrand, sky summoner",Legends Game Store,1,3.49
"talrand, sky summoner",Legends Game Store,2,3.49
"talrand, sky summoner",Newstation,1,9.00
"talrand, sky summoner",Newstation,1,10.50
"talrand, sky summoner",Newstation,1,12.00
"talrand, sky summoner",VAULT,1,9.20
"talrand, sky summoner",VAULT,1,8.37
"talrand, sky summoner",MTG Cards Games,2,2.50
"talrand, sky summoner",MTG Cards Games,1,9.95
young pyromancer,MTG Caxias Cards,2,2.49
"talrand, sky summoner",Power9,1,9.90
"talrand, sky summoner",Power9,8,3.00
"talrand, sky summoner",Chuck TCG,1,9.50
"talrand, sky summoner",Cabala MtG,1,8.80
"talrand, sky summoner",Legion Board & Card Games,1,7.95
"talrand, sky summoner",Neowalkers Geek Store,4,2.98
"talrand, sky summoner",Neowalkers Geek Store,1,8.00
"talrand, sky summoner",Liga Arena,2,7.51
"talrand, sky summoner",Segura Card & Games,1,5.90
"talrand, sky summoner",Segura Card & Games,1,1.70
"talrand, sky summoner",Segura Card & Games,1,6.50
"talrand, sky summoner",Magic Leste,2,7.45
"talrand, sky summoner",Geex Hobby Store,1,5.99
"talrand, sky summoner",Hobby Center,1,7.00
young pyromancer,Treasure Cards,5,3.60
young pyromancer,Treasure Cards,5,3.60
young pyromancer,Treasure Cards,4,3.60
young pyromancer,Treasure Cards,4,3.60
young pyromancer,Treasure Cards,3,3.60
young pyromancer,Treasure Cards,3,3.60
young pyromancer,Treasure Cards,1,3.60
"talrand, sky summoner",Cards Outlet,4,5.23
"talrand, sky summoner",Cards Outlet,4,5.23
"talrand, sky summoner",Cards Outlet,4,5.98
"talrand, sky summoner",Cards Outlet,4,2.65
"talrand, sky summoner",Goblin Hero Store,3,1.70
"talrand, sky summoner",Goblin Hero Store,1,5.90
"talrand, sky summoner",VampireX TCG,1,3.21
"talrand, sky summoner",VampireX TCG,1,8.79
"talrand, sky summoner",Bazar de Bagdá,25,3.99
"talrand, sky summoner",Bazar de Bagdá,21,3.99
"talrand, sky summoner",Bazar de Bagdá,11,3.99
"talrand, sky summoner",Bazar de Bagdá,1,11.99
"talrand, sky summoner",Magicbembarato,9,2.77
"talrand, sky summoner",Magicbembarato,4,5.43
"talrand, sky summoner",Magicbembarato,4,5.96
"talrand, sky summoner",Magicbembarato,4,5.22
"talrand, sky summoner",Lets Collect,1,5.85
"talrand, sky summoner",Millennium Cards & Games,1,3.00
"talrand, sky summoner",Millennium Cards & Games,1,6.50
"talrand, sky summoner",City Class Games,2,5.00
"talrand, sky summoner",Pi Games,4,4.99
"talrand, sky summoner",Pi Games,1,4.99
"talrand, sky summoner",Loja Grimorium,2,3.99
"talrand, sky summoner",Epic Game,1,4.90
"talrand, sky summoner",Magic Club,7,3.00
"talrand, sky summoner",Magic Club,1,3.60
"talrand, sky summoner",Cards Of Paradise,33,4.89
"talrand, sky summoner",Cards Of Paradise,3,4.89
"talrand, sky summoner",Cards Of Paradise,3,4.89
"talrand, sky summoner",Bahia Store,4,3.28
"talrand, sky summoner",Meruru,3,2.98
"talrand, sky summoner",Meruru,1,3.35
"talrand, sky summoner",Load or Cast,1,3.15
"talrand, sky summoner",Load or Cast,1,2.70
"talrand, sky summoner",Load or Cast,3,2.55
"talrand, sky summoner",Treasure Cards,1,3.15
"talrand, sky summoner",Player`s Stop,2,3.50
"talrand, sky summoner",RED Jogos,1,3.00
"talrand, sky summoner",Inside Games,5,3.00
"talrand, sky summoner",A Taverna,1,3.25
"talrand, sky summoner",Universo Magic,1,3.00
"talrand, sky summoner",Livraria de Alexandria,1,2.00
"talrand, sky summoner",Miragem Hobby,1,2.90
"talrand, sky summoner",Taverneiros,1,1.80
"talrand, sky summoner",Mulligan Geek Store,12,3.00
"talrand, sky summoner",Mulligan Geek Store,3,2.75
"talrand, sky summoner",Mulligan Geek Store,1,3.00
"talrand, sky summoner",DeckMasterGames,1,1.90
"talrand, sky summoner",Card Castle,5,1.73
"talrand, sky summoner",Multiverso Cards Comercio de Jogos e Acessorios Lt,3,1.50
"talrand, sky summoner",Elder Dragon Brasil,6,1.70
fellwar stone,Loja Grimorium,7,9.99
fellwar stone,Loja Grimorium,1,9.99
"talrand, sky summoner",PRCShop,1,1.50
"talrand, sky summoner",Prime MTG,4,1.81
fellwar stone,Cards Of Paradise,47,8.29
fellwar stone,Cards Of Paradise,44,8.29
fellwar stone,Cards Of Paradise,11,8.29
fellwar stone,Cards Of Paradise,3,8.29
fellwar stone,Treasure Cards,4,10.80
fellwar stone,Treasure Cards,1,3.60
fellwar stone,Konklave FunStore,4,8.08
fellwar stone,Newstation,2,7.90
fellwar stone,Newstation,1,8.00
fellwar stone,Newstation,1,8.00
fellwar stone,VAULT,6,6.50
fellwar stone,VAULT,2,6.00
fellwar stone,VAULT,1,6.50
fellwar stone,VAULT,1,6.00
