card,store,quantity,value
forgotten cave,Legends Game Store,7,1.49
forgotten cave,Legends Game Store,3,1.37
forgotten cave,Power9,8,1.00
forgotten cave,Multiverso Cards Comercio de Jogos e Acessorios Lt,2,1.20
forgotten cave,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,0.66
forgotten cave,Flow Games,7,1.00
forgotten cave,Flow Games,1,0.63
forgotten cave,Pi Games,3,1.25
forgotten cave,Pi Games,1,0.00
forgotten cave,Magic Store Brasil,1,1.20
forgotten cave,Magic Store Brasil,1,1.00
forgotten cave,Neowalkers Geek Store,8,0.98
forgotten cave,VampireX TCG,39,0.66
forgotten cave,VampireX TCG,18,0.97
forgotten cave,VampireX TCG,8,0.78
forgotten cave,VampireX TCG,7,0.87
forgotten cave,VampireX TCG,3,0.66
forgotten cave,VampireX TCG,2,0.61
forgotten cave,VampireX TCG,2,0.87
forgotten cave,VampireX TCG,1,0.87
forgotten cave,VampireX TCG,1,0.66
forgotten cave,VampireX TCG,1,0.66
forgotten cave,Magic Club,18,0.95
forgotten cave,Magic Club,1,0.95
forgotten cave,Magic Club,1,0.95
forgotten cave,LIMIAR STORE,2,0.92
forgotten cave,LIMIAR STORE,1,0.93
forgotten cave,Porto Livre Games,4,0.99
forgotten cave,Porto Livre Games,2,0.64
forgotten cave,Porto Livre Games,1,0.64
forgotten cave,Porto Livre Games,2,0.64
forgotten cave,Porto Livre Games,13,0.64
forgotten cave,Player`s Stop,4,0.93
forgotten cave,Universo Magic,8,0.90
forgotten cave,Prime MTG,6,0.89
forgotten cave,Prime MTG,6,0.90
forgotten cave,Prime MTG,2,0.90
forgotten cave,Prime MTG,1,0.90
forgotten cave,Cards e Games,9,0.70
forgotten cave,Cards e Games,8,0.70
forgotten cave,Cards e Games,7,0.70
forgotten cave,Cards e Games,1,0.90
forgotten cave,Loja Blood Moon,8,0.75
forgotten cave,Miragem Hobby,16,0.75
forgotten cave,Miragem Hobby,9,0.75
forgotten cave,CL TCG,4,0.75
forgotten cave,CL TCG,1,0.70
forgotten cave,Legion Board & Card Games,8,0.75
forgotten cave,RED Jogos,8,0.75
forgotten cave,Epic Game,12,0.75
forgotten cave,Cabala MtG,1,0.66
forgotten cave,Moinho de Vento Geek Store,12,0.74
forgotten cave,Goblin Hero Store,1,0.60
forgotten cave,Goblin Hero Store,1,0.60
izzet boilerworks,MTG Cards Games,36,1.50
izzet boilerworks,MTG Cards Games,15,1.50
izzet boilerworks,MTG Cards Games,12,1.50
izzet boilerworks,MTG Cards Games,12,1.50
izzet boilerworks,MTG Cards Games,11,1.50
izzet boilerworks,MTG Cards Games,11,1.50
izzet boilerworks,MTG Cards Games,11,1.50
izzet boilerworks,MTG Cards Games,5,1.50
izzet boilerworks,MTG Cards Games,5,1.50
izzet boilerworks,MTG Cards Games,4,4.95
forgotten cave,Magic House Games,1,0.55
forgotten cave,Magic House Games,1,0.55
forgotten cave,Magic House Games,1,0.55
izzet boilerworks,House of Cards - Card Games,1,4.95
izzet boilerworks,Nerdz Cards,3,4.90
izzet boilerworks,Nerdz Cards,1,3.90
izzet boilerworks,Segura Card & Games,1,4.90
izzet boilerworks,Segura Card & Games,1,0.50
izzet boilerworks,Porto Livre Games,1,4.17
izzet boilerworks,Porto Livre Games,3,1.23
izzet boilerworks,Porto Livre Games,1,1.06
izzet boilerworks,Porto Livre Games,2,0.64
izzet boilerworks,Porto Livre Games,2,0.42
forgotten cave,MTG Cards Games,14,0.75
forgotten cave,MTG Cards Games,13,0.75
forgotten cave,MTG Cards Games,7,0.75
izzet boilerworks,Prime MTG,33,0.65
izzet boilerworks,Prime MTG,3,0.70
izzet boilerworks,Prime MTG,3,4.50
izzet boilerworks,Prime MTG,1,0.74
izzet boilerworks,Shandalar,3,0.75
izzet boilerworks,Shandalar,1,0.75
izzet boilerworks,Shandalar,1,0.75
izzet boilerworks,Shandalar,1,4.90
izzet boilerworks,Card Castle,3,4.65
izzet boilerworks,Card Castle,3,0.56
izzet boilerworks,Card Castle,1,0.56
izzet boilerworks,Medieval Cards,16,0.95
izzet boilerworks,Medieval Cards,2,0.95
izzet boilerworks,Medieval Cards,1,5.70
izzet boilerworks,Medieval Cards,1,1.90
izzet boilerworks,Pi Games,1,1.99
izzet boilerworks,Pi Games,1,1.99
izzet boilerworks,Loja Grimorium,2,1.99
izzet boilerworks,Loja Grimorium,2,1.99
izzet boilerworks,Loja Grimorium,2,1.99
izzet boilerworks,Loja Grimorium,2,1.99
izzet boilerworks,Loja Grimorium,1,1.99
izzet boilerworks,Loja Grimorium,1,1.99
izzet boilerworks,Loja Grimorium,1,1.99
izzet boilerworks,Mulligan Geek Store,4,1.75
