card,store,quantity,value
swords to plowshares,Cards Outlet,1,15.74
swords to plowshares,Cards Outlet,1,12.58
swords to plowshares,Cards Outlet,1,0.00
swords to plowshares,Cards Outlet,1,19.95
swords to plowshares,Cards Outlet,4,11.59
swords to plowshares,Cards Outlet,4,6.85
swords to plowshares,Cards Outlet,4,7.74
swords to plowshares,Cards Outlet,4,6.89
swords to plowshares,Cards Outlet,4,8.11
swords to plowshares,Cards Outlet,4,15.74
swords to plowshares,Cards Outlet,4,8.91
swords to plowshares,Cards Outlet,4,6.04
swords to plowshares,Cards Outlet,4,9.17
swords to plowshares,House of Cards - Card Games,4,3.95
swords to plowshares,House of Cards - Card Games,1,19.95
swords to plowshares,House of Cards - Card Games,1,3.95
swords to plowshares,Porto Livre Games,1,20.83
swords to plowshares,Porto Livre Games,1,19.13
swords to plowshares,Porto Livre Games,3,6.38
swords to plowshares,Newstation,7,12.00
swords to plowshares,Newstation,5,6.00
swords to plowshares,Newstation,5,6.00
swords to plowshares,Newstation,4,7.00
swords to plowshares,Newstation,3,7.00
swords to plowshares,Newstation,3,8.00
swords to plowshares,Newstation,2,6.00
swords to plowshares,Newstation,2,12.00
swords to plowshares,Newstation,1,16.00
swords to plowshares,Newstation,1,20.00
swords to plowshares,Newstation,1,15.00
swords to plowshares,Newstation,1,18.00
swords to plowshares,Cards Store,1,9.00
swords to plowshares,Cards Store,1,17.90
swords to plowshares,Cards Store,1,4.90
swords to plowshares,Skull Games,5,5.49
swords to plowshares,Skull Games,2,5.49
swords to plowshares,Skull Games,1,7.49
swords to plowshares,Skull Games,1,4.99
swords to plowshares,Skull Games,1,16.99
swords to plowshares,Konklave FunStore,4,15.96
swords to plowshares,Konklave FunStore,4,8.55
swords to plowshares,Konklave FunStore,3,4.80
swords to plowshares,Konklave FunStore,4,4.80
swords to plowshares,Pi Games,5,5.25
swords to plowshares,Pi Games,1,15.08
swords to plowshares,Pi Games,1,0.00
swords to plowshares,Inside Games,21,15.00
swords to plowshares,Inside Games,17,7.50
