card,store,quantity,value
island,Loja Grimorium,6,0.49
island,Loja Grimorium,5,0.25
island,Loja Grimorium,2,2.99
island,Loja Grimorium,2,1.99
island,Loja Grimorium,1,9.99
island,Loja Grimorium,1,1.99
island,Cards Outlet,15,19.95
island,Cards Outlet,2,0.75
island,Top Deck RN,1,19.99
island,CHQ Cards,25,8.00
island,CHQ Cards,7,19.90
island,Konklave FunStore,6,18.39
island,Konklave FunStore,1,18.39
island,Konklave FunStore,1,4.50
island,Konklave FunStore,1,3.20
island,Konklave FunStore,3,2.00
island,Konklave FunStore,5,0.40
island,O Grimório,26,17.90
island,Chuck TCG,7,1.50
island,Chuck TCG,9,1.50
island,Chuck TCG,1,2.00
island,Chuck TCG,1,3.00
island,Chuck TCG,12,10.00
island,Chuck TCG,9,12.50
island,Chuck TCG,9,19.50
island,Chuck TCG,3,19.50
island,Chuck TCG,8,19.50
island,RED Jogos,1,15.00
island,RED Jogos,17,10.00
island,RED Jogos,3,9.60
island,RED Jogos,12,9.60
island,RED Jogos,9,7.20
island,RED Jogos,18,8.00
island,RED Jogos,1,6.40
island,RED Jogos,1,5.00
island,RED Jogos,2,4.50
island,RED Jogos,3,3.00
island,RED Jogos,1,3.00
island,RED Jogos,1,2.50
island,RED Jogos,1,2.00
island,RED Jogos,9,2.00
island,RED Jogos,3,2.00
island,RED Jogos,16,0.50
island,Mulligan Geek Store,37,18.25
island,Mulligan Geek Store,21,12.25
island,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,8.34
island,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,6.00
island,Multiverso Cards Comercio de Jogos e Acessorios Lt,4,4.32
island,Multiverso Cards Comercio de Jogos e Acessorios Lt,1,2.70
island,Jaw Games,4,15.00
island,Jaw Games,4,15.00
island,Jaw Games,2,0.15
island,Jaw Games,2,8.00
island,ProNerd,1,15.77
island,ProNerd,2,1.95
island,ProNerd,8,1.20
island,Flow Games,2,16.24
island,Flow Games,2,6.59
island,Flow Games,1,4.30
island,Flow Games,2,3.72
island,Pharaoh\'s Shop,18,9.90
island,Pharaoh\'s Shop,14,15.00
island,Pharaoh\'s Shop,12,9.50
island,Pharaoh\'s Shop,2,15.00
island,GeeK Pit,3,15.00
island,CL TCG,8,7.75
island,CL TCG,4,0.20
island,CL TCG,2,0.25
island,CL TCG,1,15.00
island,CL TCG,1,12.00
island,Geex Hobby Store,11,1.49
island,Geex Hobby Store,2,14.99
island,DeckMasterGames,4,11.88
island,DeckMasterGames,3,14.90
island,DeckMasterGames,1,12.00
island,Livraria do Infinito - MagicJebb,1,14.45
island,Livraria do Infinito - MagicJebb,4,6.80
island,Livraria do Infinito - MagicJebb,1,3.83
island,Livraria do Infinito - MagicJebb,1,0.43
island,Livraria do Infinito - MagicJebb,2,0.23
island,Livraria do Infinito - MagicJebb,4,0.19
island,Medieval Cards,51,0.24
island,Medieval Cards,36,9.50
island,Pi Games,18,0.45
island,Pi Games,11,4.99
island,Pi Games,8,12.00
island,Pi Games,7,0.33
island,Pi Games,6,0.79
island,Pi Games,2,5.99
island,Pi Games,2,12.99
island,Pi Games,2,0.99
island,Pi Games,1,1.99
