card,store,quantity,value
Sentinel Totem,Miragem Hobby,14,0.35
Sentinel Totem,VampireX TCG,3,0.31
Sentinel Totem,Segura Card & Games,6,0.25
Sentinel Totem,Loja Caverna do Dragão,1,0.30
Sentinel Totem,Universo Magic,9,0.25
Sentinel Totem,Mineral Games,4,0.25
Sentinel Totem,ProNerd,1,0.21
Pirate's Prize,Cards e Games,25,0.28
Pirate's Prize,Cards e Games,3,2.39
Pirate's Prize,City Class Games,18,0.60
Pirate's Prize,City Class Games,4,2.00
Sentinel Totem,Magic House Games,2,0.25
Sentinel Totem,Goblin Hero Store,1,0.24
Pirate's Prize,Newstation,8,0.50
Pirate's Prize,Newstation,1,2.00
Sentinel Totem,Basics Cards,1,0.15
Pirate's Prize,TCGeeK,61,0.48
Pirate's Prize,TCGeeK,3,1.90
Sentinel Totem,Ilusões Industriais,6,0.15
Sentinel Totem,Ilusões Industriais,1,0.15
Pirate's Prize,VAULT,4,0.20
Pirate's Prize,VAULT,1,1.50
Pirate's Prize,Bazar de Bagdá,1,1.49
Pirate's Prize,Tokenlandia Cards,7,0.50
Pirate's Prize,Tokenlandia Cards,1,2.00
Pirate's Prize,Magic Club,52,0.20
Pirate's Prize,Magic Club,1,1.20
Pirate's Prize,Loja Grimorium,12,0.25
Pirate's Prize,Loja Grimorium,1,0.99
Pirate's Prize,RED Jogos,3,0.90
Pirate's Prize,Load or Cast,1,0.95
Pirate's Prize,Load or Cast,19,0.20
Pirate's Prize,Pi Games,19,0.25
Pirate's Prize,Pi Games,1,1.00
Pirate's Prize,Magicbembarato,6,0.21
Pirate's Prize,Magicbembarato,4,1.12
Pirate's Prize,Player`s Stop,1,0.50
Pirate's Prize,Toca do Quati,6,0.50
Pirate's Prize,Ilusões Industriais,29,0.50
Pirate's Prize,CL TCG,3,0.99
Pirate's Prize,Meruru,19,0.55
Pirate's Prize,Armada Nerd Hobby Store,17,0.50
Pirate's Prize,Magic Store Brasil,21,0.50
Pirate's Prize,Konklave FunStore,4,0.50
Pirate's Prize,Prime MTG,8,0.17
Pirate's Prize,Prime MTG,1,0.49
Pirate's Prize,Power Up Games,37,0.33
Pirate's Prize,Cards Store,6,0.49
Pirate's Prize,Card Tutor,8,0.25
Pirate's Prize,Skull Games,4,0.25
Pirate's Prize,AnimeToys Sorocaba,6,0.45
Pirate's Prize,Padrinho: Card Store,33,0.25
Pirate's Prize,Vila Celta Hobby Store,4,0.29
Pirate's Prize,ManaFix.net,14,0.25
Pirate's Prize,Miragem Hobby,19,0.25
Pirate's Prize,Segura Card & Games,7,0.25
Pirate's Prize,Inside Games,23,0.25
Pirate's Prize,Chuck TCG,28,0.25
Pirate's Prize,Ascensão,2,0.25
Pirate's Prize,Portal,16,0.25
Pirate's Prize,Arena Hobby Store,26,0.25
